"text,label"
"Alabama,LOCATION_STATE"
"Alaska,LOCATION_STATE"
"Arizona,LOCATION_STATE"
"Arkansas,LOCATION_STATE"
"California,LOCATION_STATE"
"Colorado,LOCATION_STATE"
"Connecticut,LOCATION_STATE"
"Delaware,LOCATION_STATE"
"Florida,LOCATION_STATE"
"Georgia,LOCATION_STATE"
"Hawaii,LOCATION_STATE"
"Idaho,LOCATION_STATE"
"Illinois,LOCATION_STATE"
"Indiana,LOCATION_STATE"
"Iowa,LOCATION_STATE"
"Kansas,LOCATION_STATE"
"Kentucky,LOCATION_STATE"
"Louisiana,LOCATION_STATE"
"Maine,LOCATION_STATE"
"Maryland,LOCATION_STATE"
"Massachusetts,LOCATION_STATE"
"Michigan,LOCATION_STATE"
"Minnesota,LOCATION_STATE"
"Mississippi,LOCATION_STATE"
"Missouri,LOCATION_STATE"
"Montana,LOCATION_STATE"
"Nebraska,LOCATION_STATE"
"Nevada,LOCATION_STATE"
"New Hampshire,LOCATION_STATE"
"New Jersey,LOCATION_STATE"
"New Mexico,LOCATION_STATE"
"New York,LOCATION_STATE"
"North Carolina,LOCATION_STATE"
"North Dakota,LOCATION_STATE"
"Ohio,LOCATION_STATE"
"Oklahoma,LOCATION_STATE"
"Oregon,LOCATION_STATE"
"Pennsylvania,LOCATION_STATE"
"Rhode Island,LOCATION_STATE"
"South Carolina,LOCATION_STATE"
"South Dakota,LOCATION_STATE"
"Tennessee,LOCATION_STATE"
"Texas,LOCATION_STATE"
"Utah,LOCATION_STATE"
"Vermont,LOCATION_STATE"
"Virginia,LOCATION_STATE"
"Washington,LOCATION_STATE"
"West Virginia,LOCATION_STATE"
"Wisconsin,LOCATION_STATE"
"Wyoming,LOCATION_STATE"
"""Mathis, James Dunn (Jimmy)"",PERSON"
"""Mathis, Jay"",PERSON"
"""Matsui, Doris"",PERSON"
"""Matsui, Robert Takeo (Bob)"",PERSON"
"""Matthews, Peter"",PERSON"
"""Matthews, Richard"",PERSON"
"""Mattox, James Albon (Jim)"",PERSON"
"""Mavroules, Nick"",PERSON"
"""Maxfield, Pete"",PERSON"
"""Maymin, Phil"",PERSON"
"""Maynard, Spike"",PERSON"
"""Mays, Carolene"",PERSON"
"""McAtee, Charles D."",PERSON"
"""McBurney, Connie"",PERSON"
"""McCain, John Sidney, III"",PERSON"
"""McCalister, Mike"",PERSON"
"""McCallum, John"",PERSON"
"""McCamley, Bill"",PERSON"
"""McCampbell, Bill"",PERSON"
"""McCann, Mike"",PERSON"
"""McCarthy, Carolyn"",PERSON"
"""McCarthy, Karen"",PERSON"
"""McCaul, Michael"",PERSON"
"""McCline, Jameel"",PERSON"
"""McClintock, Thomas Miller, II (Tom)"",PERSON"
"""McCloskey, Francis Xavier (Frank)"",PERSON"
"""McCloskey, Paul Norton, Jr. (Pete)"",PERSON"
"""McClung, Ruth"",PERSON"
"""McClure, James Albertus (Jim)"",PERSON"
"""McClure, James R."",PERSON"
"""McColl, Bill"",PERSON"
"""McCollum, Betty"",PERSON"
"""McCollum, Ira William, Jr. (Bill)"",PERSON"
"""McConoughey, Jim"",PERSON"
"""McCormack, Edward J., III (Ed)"",PERSON"
"""McCormack, Tim"",PERSON"
"""McCormick, Terri"",PERSON"
"""McCotter, Thaddeus"",PERSON"
"""McCoy, Tully"",PERSON"
"""McCrery, Jim"",PERSON"
"""McCrory, Patrick Lloyd (Pat)"",PERSON"
"""McCune, Craig"",PERSON"
"""McCurdy, David Keith (Dave)"",PERSON"
"""McDaniel, Rodger Eugene (Red)"",PERSON"
"""McDermott, James A. (Jim)"",PERSON"
"""McDermott, Jim C."",PERSON"
"""McDevitt, Sean"",PERSON"
"""McDonald, Daniel (Dan)"",PERSON"
"""McDonald, Dennis"",PERSON"
"""McDonald, Kathryn"",PERSON"
"""McDonald, Lawrence Patton (Larry)"",PERSON"
"""McDowell, Gary"",PERSON"
"""McElroy, Mike"",PERSON"
"""McEwen, Robert D. (Bob)"",PERSON"
"""McFarland, J. Ruth"",PERSON"
"""McGoff, John"",PERSON"
"""McGovern, James P. (Jim)"",PERSON"
"""McGowan, Patrick K. (Pat)"",PERSON"
"""McGrath, Raymond J. (Ray)"",PERSON"
"""McGregor, Jackie"",PERSON"
"""McHenry, Patrick"",PERSON"
"""McHugh, John"",PERSON"
"""McHugh, Matthew Francis (Matt)"",PERSON"
"""McInerney, Gary"",PERSON"
"""McInnis, Scott"",PERSON"
"""McIntosh, David Martin"",PERSON"
"""McIntyre, Richard"",PERSON"
"""McKay, Dwight"",PERSON"
"""McKay, Koln Gunn"",PERSON"
"""Mckee, Ray"",PERSON"
"""McKelvey, Jim"",PERSON"
"""McKenna, Dolly Madison"",PERSON"
"""McKernan, McKernan, John Retti, Jr."",PERSON"
"""McKibben, Larry"",PERSON"
"""McKinley, David"",PERSON"
"""McKinney, Cynthia"",PERSON"
"""McKinney, Stewart B."",PERSON"
"""McLaughlin, Joe"",PERSON"
"""McLeod, Wright"",PERSON"
"""Mclntyre, Mike"",PERSON"
"""McMillan, John Alexander, III (Alex)"",PERSON"
"""McMillen, Thomas Charles (Tom)"",PERSON"
"""McMorris Rodgers, Cathy"",PERSON"
"""McMorris, Cathy"",PERSON"
"""McNairy, Leigh"",PERSON"
"""McNary, Gene"",PERSON"
"""McNeil, Andrew"",PERSON"
"""McNerney, Gerald (Jerry)"",PERSON"
"""McNulty, James Francis, Jr."",PERSON"
"""McNulty, Michael Robert"",PERSON"
"""McPherson, William Joseph, Jr."",PERSON"
"""McQueen, Horace Franklin"",PERSON"
"""McRight, Frank"",PERSON"
"""McSally, Martha"",PERSON"
"""McSlarrow, Kyle"",PERSON"
"""McSweeney, David"",PERSON"
"""McVicker, Roy Harrison"",PERSON"
"""Mead, Larry Edward"",PERSON"
"""Meadows, Mark"",PERSON"
"""Meehan, Martin Thomas"",PERSON"
"""Meek, Chris"",PERSON"
"""Meeker, Anthony (Tony)"",PERSON"
"""Mejias, David L."",PERSON"
"""Melancon, Charles Joseph (Charlie)"",PERSON"
"""Melcher, John"",PERSON"
"""Melconian, Linda"",PERSON"
"""Melville, David"",PERSON"
"""Menor, Ron"",PERSON"
"""Messer, Luke"",PERSON"
"""Messinger, Lesli Rae"",PERSON"
"""Metcalf, Jack"",PERSON"
"""Metcalfe, Jake"",PERSON"
"""Meyer, Wayne"",PERSON"
"""Meyers, Jan"",PERSON"
"""Meyers, Maurice"",PERSON"
"""Meza Harrison, Rose"",PERSON"
"""Mezvinsky, Edward Maurice"",PERSON"
"""Mica, Daniel Andrew (Dan)"",PERSON"
"""Mica, John"",PERSON"
"""Michaels, Pat"",PERSON"
"""Michalski, Dan"",PERSON"
"""Michaud, Michael Herman (Mike)"",PERSON"
"""Michel, Robert Henry"",PERSON"
"""Mike, Pence"",PERSON"
"""Mikkelsen, Alan"",PERSON"
"""Miklosi, Joe"",PERSON"
"""Milder, Ally"",PERSON"
"""Miles, Pat"",PERSON"
"""Miller, Candice S."",PERSON"
"""Miller, Craig"",PERSON"
"""Miller, Dan"",PERSON"
"""Miller, Harold O."",PERSON"
"""Miller, Jeff"",PERSON"
"""Miller, John Ripin"",PERSON"
"""Miller, Jonathan"",PERSON"
"""Miller, Pat"",PERSON"
"""Miller, Ralph Bradley (Brad)"",PERSON"
"""Miller, Rob"",PERSON"
"""Miller, William E, Jr. (Bill)"",PERSON"
"""Milliken, John Geddes"",PERSON"
"""Mills, Janet Trafton"",PERSON"
"""Mills, Jon L."",PERSON"
"""Milner, Larry S."",PERSON"
"""Mims, Tom"",PERSON"
"""Minear, Sarah"",PERSON"
"""Mineta, Norman Yoshio (Norm)"",PERSON"
"""Minge, David"",PERSON"
"""Mink, Patsy Takemoto"",PERSON"
"""Minnick, Walt"",PERSON"
"""Minshall, William Edwin, Jr."",PERSON"
"""Mitakides, Jane"",PERSON"
"""Mitchel, John"",PERSON"
"""Mitchell, Bob"",PERSON"
"""Mitchell, Edward"",PERSON"
"""Mitchell, Elizabeth H. (Libby)"",PERSON"
"""Mitchell, Harry"",PERSON"
"""Mitchell, James F."",PERSON"
"""Mitnick, John M."",PERSON"
"""Mize, Chester Louis"",PERSON"
"""Mizuquchi, Norman"",PERSON"
"""Mizusawa, Bert"",PERSON"
"""Moak, Steve"",PERSON"
"""Moakley, John Joseph"",PERSON"
"""Moeller, Roy"",PERSON"
"""Moffett, Anthony John, Jr. (Toby)"",PERSON"
"""Moffitt, Karen"",PERSON"
"""Moise, Rudy"",PERSON"
"""Molinari, Susan"",PERSON"
"""Moll, Jeanette"",PERSON"
"""Mollohan, Alan Bowlby"",PERSON"
"""Money, Steve"",PERSON"
"""Mongomery, Sonny"",PERSON"
"""Monica, Monica"",PERSON"
"""Montagano, Mike"",PERSON"
"""Montgomery, Wayne Warren"",PERSON"
"""Montigel, Robert G. (Bob)"",PERSON"
"""Montoya, Harry"",PERSON"
"""Moody, Edward"",PERSON"
"""Moody, James P. (Jim)"",PERSON"
"""Moore Capito, Shelley"",PERSON"
"""Moore, Dennis"",PERSON"
"""Moore, Gwen"",PERSON"
"""Moore, Jimmie"",PERSON"
"""Moran, James Patrick, Jr. (Jim)"",PERSON"
"""Moran, Jerry"",PERSON"
"""Morella, Constance Albanese (Connie)"",PERSON"
"""Moreno, Helena"",PERSON"
"""Morgan, Fred"",PERSON"
"""Morgan, Mike"",PERSON"
"""Morgan, Sherrill L."",PERSON"
"""Morris, Charles"",PERSON"
"""Morris, John"",PERSON"
"""Morris, Kirk"",PERSON"
"""Morris, Paulina"",PERSON"
"""Morrison, Bruce Andrew"",PERSON"
"""Morrison, Sidney Wallace (Sid)"",PERSON"
"""Morsberger, Emory"",PERSON"
"""Mosher, Natalie"",PERSON"
"""Moshofsky, William James (Bill)"",PERSON"
"""Moss, John Emerson"",PERSON"
"""Moulton, Terry"",PERSON"
"""Mourdock, Richard Earl"",PERSON"
"""Mowery, Jean"",PERSON"
"""Moyer, Tim"",PERSON"
"""Mrazek, Robert J."",PERSON"
"""Mueller, Margaret Reid"",PERSON"
"""Mullen , Brendan"",PERSON"
"""Mullin, Markwayne"",PERSON"
"""Mullins, Tom"",PERSON"
"""Mumpower, Carl"",PERSON"
"""Munsey, Sue"",PERSON"
"""Munster, Edward W. (Ed)"",PERSON"
"""Murdock, John"",PERSON"
"""Murdock, Norm"",PERSON"
"""Muri, Dick"",PERSON"
"""Murphy, Christopher Scott (Chris)"",PERSON"
"""Murphy, Ian"",PERSON"
"""Murphy, Lois"",PERSON"
"""Murphy, Mike"",PERSON"
"""Murphy, Patrick"",PERSON"
"""Murphy, Scott"",PERSON"
"""Murphy, Timothy (Tim)"",PERSON"
"""Murray, Tom"",PERSON"
"""Murtha, Jack"",PERSON"
"""Musgrave, Marilyn"",PERSON"
"""Musil, Greg"",PERSON"
"""Mustakas, George Theodore, II"",PERSON"
"""Myers, John Massie"",PERSON"
"""Myers, Tom"",PERSON"
"""Myers, Woody"",PERSON"
"""Myrick, Sue"",PERSON"
"""Myshka, Susan"",PERSON"
"""Nagle, David Ray (Dave)"",PERSON"
"""Nahra, Joseph J."",PERSON"
"""Napier, John"",PERSON"
"""Naples, Nancy"",PERSON"
"""Navarro, Peter"",PERSON"
"""Neal, Joe"",PERSON"
"""Neal, Patricia (Pat)"",PERSON"
"""Neal, Richard Edmund"",PERSON"
"""Neal, Stephen Lybrook (Steve)"",PERSON"
"""Neall, Robert R. (Bob)"",PERSON"
"""Negron, Joe"",PERSON"
"""Neill, Sam"",PERSON"
"""Neilsen, Bill"",PERSON"
"""Neilsen, Mark"",PERSON"
"""Nelson, Chris"",PERSON"
"""Nelson, Gary"",PERSON"
"""Nelson, Paul R."",PERSON"
"""Nethercutt, George R., Jr."",PERSON"
"""Netherwood, Ray"",PERSON"
"""Neugebaue, Randy"",PERSON"
"""Neugebauer, Randy"",PERSON"
"""Neuhardt, Sharen"",PERSON"
"""Neuman, Mark"",PERSON"
"""Neumann, Mark"",PERSON"
"""Nevius, Jack"",PERSON"
"""Newberry, Jim"",PERSON"
"""Newman, Don Melvin"",PERSON"
"""Newman, Jonathan"",PERSON"
"""Newman, Monty"",PERSON"
"""Newton, Matt"",PERSON"
"""Ney, Bob"",PERSON"
"""Nichol, Gene"",PERSON"
"""Nichols, Jason"",PERSON"
"""Nichols, Richard Dale (Dick)"",PERSON"
"""Nichols, William Flynt"",PERSON"
"""Nielsen, Mark"",PERSON"
"""Nielsen, William (William D.)"",PERSON"
"""Noblitt, Harding Coolidge"",PERSON"
"""Noem, Kristi"",PERSON"
"""Nolan, Rick"",PERSON"
"""Noland, James A., Jr."",PERSON"
"""Northup, Anne Meagher"",PERSON"
"""Norton, Eleanor Holmes"",PERSON"
"""Norton, Mike"",PERSON"
"""Norwood, Charles W., Jr. (Charlie)"",PERSON"
"""Novak, Steve"",PERSON"
"""Nunes, Devin"",PERSON"
"""Nunnelee, Alan"",PERSON"
"""Nussie, James Allen (Jim)"",PERSON"
"""Nussle, James Allen (Jim)"",PERSON"
"""Nutting, John"",PERSON"
"""Nuttle, Marc"",PERSON"
"""Nye, Glenn"",PERSON"
"""Oakar, Mary Rose"",PERSON"
"""Oberstar, James Louis (Jim)"",PERSON"
"""Oberweis, James D. (Jim)"",PERSON"
"""Obey, David Ross (Dave)"",PERSON"
"""Oblinger, Carl"",PERSON"
"""O'Brien, Buck"",PERSON"
"""O'Brien, Corey"",PERSON"
"""O'Brien, Dave"",PERSON"
"""O'Brien, Edward (Ed)"",PERSON"
"""O'Brien, Joseph William, Jr. (J.W.)"",PERSON"
"""O'Brien, William (Billy)"",PERSON"
"""Ochoa, Gloria"",PERSON"
"""O'Connell, John A."",PERSON"
"""O'Connor, John"",PERSON"
"""O'Connor, Kevin"",PERSON"
"""Odom, Ben"",PERSON"
"""O'Donnell, Anthony J. (Tony)"",PERSON"
"""O'Donnell, Rick"",PERSON"
"""O'Donoghue, Bruce"",PERSON"
"""Oelrich, Steve"",PERSON"
"""Ogonowski, Jim"",PERSON"
"""Ogsbury, Jim"",PERSON"
"""O'Kane, Sean"",PERSON"
"""O'Konski, Alvin Edward"",PERSON"
"""Olin, James Randolph"",PERSON"
"""Oliverio, Mike"",PERSON"
"""Olsen, Arnold"",PERSON"
"""Olson, Judy"",PERSON"
"""Olson, Pete"",PERSON"
"""Olver, John Walter"",PERSON"
"""Omann, Bernie"",PERSON"
"""Omdahl, Lloyd B."",PERSON"
"""O'Meara, Edward S., Jr. (Ed)"",PERSON"
"""Orentlicher, David"",PERSON"
"""O'Rourke, Robert Francis (Beto)"",PERSON"
"""Ortiz, Solomon"",PERSON"
"""Orton, William H. (Bill)"",PERSON"
"""Ose, Douglas Arlo (Doug)"",PERSON"
"""O'Shaughnessy, Mary Ellen"",PERSON"
"""Osmundson, David L."",PERSON"
"""Otter, Clement Leroy (Butch)"",PERSON"
"""Overby, Lucas"",PERSON"
"""Owen, Charles L."",PERSON"
"""Owens, Bill"",PERSON"
"""Owens, Douglas Wayne"",PERSON"
"""Owens, Michael Claude"",PERSON"
"""Owens, Steve"",PERSON"
"""Oxley, Michael Garver (Mike)"",PERSON"
"""Oxner, Mark"",PERSON"
"""Paccione, Angela Veronica (Angie)"",PERSON"
"""Pace, Sal"",PERSON"
"""Padgett, Joy"",PERSON"
"""Page, Dan"",PERSON"
"""Palazzo, Steven"",PERSON"
"""Palladeno, Don"",PERSON"
"""Pallone, Frank"",PERSON"
"""Palmer, Rosemary"",PERSON"
"""Panetta, Leon Edward"",PERSON"
"""Pantano, Ilario"",PERSON"
"""Pardue, Chuck"",PERSON"
"""Park, Carole Roper"",PERSON"
"""Parker, Clark"",PERSON"
"""Parker, Paul Michael (Mike)"",PERSON"
"""Parker, Vernon"",PERSON"
"""Parker, Wayne"",PERSON"
"""Parmer, Hugh Q."",PERSON"
"""Parnell, Sean"",PERSON"
"""Parris, Stanford Elmer (Stan)"",PERSON"
"""Parry, Mike"",PERSON"
"""Pascrell, Bill"",PERSON"
"""Pastor, Ed"",PERSON"
"""Patman, Carrin"",PERSON"
"""Paton, Jonathon"",PERSON"
"""Patterson, Elizabeth Johnston  (Liz)"",PERSON"
"""Patterson, Lucy Phelps"",PERSON"
"""Patton, John"",PERSON"
"""Paul, Ronald Ernest (Ron)"",PERSON"
"""Paulsen, Erik"",PERSON"
"""Paxon, William L. (Bill)"",PERSON"
"""Paxton, Floyd"",PERSON"
"""Payne, Don"",PERSON"
"""Payne, Gary Edison"",PERSON"
"""Payne, Jr., Don"",PERSON"
"""Payne, Jr., Lewis F., Jr. "",PERSON"
"""Payne, Lewis F., Jr. "",PERSON"
"""Peacock, Bill"",PERSON"
"""Pearce, Steve"",PERSON"
"""Pearson, Kirk"",PERSON"
"""Pease, Donald James"",PERSON"
"""Pease, Ed"",PERSON"
"""Pelosi, Nancy"",PERSON"
"""Pena, Aaron"",PERSON"
"""Pence, Richard Michael (Mike)"",PERSON"
"""Pendergraph, Jim"",PERSON"
"""Pennington, David E., III"",PERSON"
"""Penny, Timothy Joseph (Tim)"",PERSON"
"""Pera, Mark"",PERSON"
"""Peranich, Diane"",PERSON"
"""Perdue, Bev"",PERSON"
"""Perez Ferguson, Anita"",PERSON"
"""Perkins, Carl Christopher"",PERSON"
"""Perlmutter, Edwin George (Ed)"",PERSON"
"""Perriello, Tom"",PERSON"
"""Perry, Paul"",PERSON"
"""Perry, Scott"",PERSON"
"""Perryman, David"",PERSON"
"""Peters, Gary"",PERSON"
"""Peters, Kathleen"",PERSON"
"""Peters, Michael John"",PERSON"
"""Peterson, Collin Clark"",PERSON"
"""Peterson, John Charles"",PERSON"
"""Petri, Thomas Evert (Tom)"",PERSON"
"""Pettigrew, Wayne"",PERSON"
"""Phelps, David Dwain"",PERSON"
"""Phelps, Rick"",PERSON"
"""Phelps, William C. (Bill)"",PERSON"
"""Phillip, Les"",PERSON"
"""Phillips, Channing Emery"",PERSON"
"""Phillips, Ira"",PERSON"
"""Phillips, John A."",PERSON"
"""Philpot, Morgan"",PERSON"
"""Piacentini, John"",PERSON"
"""Pickering, Charles W., Jr. (Chip)"",PERSON"
"""Pickett, Owen Bradford"",PERSON"
"""Pickle, James Jarrell (Jake)"",PERSON"
"""Pidcock, Robert"",PERSON"
"""Pierce, Steven D. (Steve)"",PERSON"
"""Pike, Doug"",PERSON"
"""Pingree, Chellie M."",PERSON"
"""Pittenger, Robert"",PERSON"
"""Pittman, Leroy"",PERSON"
"""Pitts, Terrance"",PERSON"
"""Plowman, Howard"",PERSON"
"""Plummer, Jason"",PERSON"
"""Pocan, Mark"",PERSON"
"""Poepoe, Andy"",PERSON"
"""Poirier, Paul N."",PERSON"
"""Polis, Jared"",PERSON"
"""Pollack, Lana"",PERSON"
"""Pollard, Tommy"",PERSON"
"""Pombo, Richard William"",PERSON"
"""Pomeroy, Earl Ralph, III"",PERSON"
"""Pompeo, Mike"",PERSON"
"""Pooler, Rosemary S."",PERSON"
"""Porter, Gary"",PERSON"
"""Porter, Jonathan Christopher (Jon)"",PERSON"
"""Portman, Rob"",PERSON"
"""Posey, Bill"",PERSON"
"""Poshard, Glendal William (Glenn)"",PERSON"
"""Postma, Jim"",PERSON"
"""Potts, Hugh"",PERSON"
"""Pouland, John"",PERSON"
"""Powell, Kenneth E."",PERSON"
"""Prather, Joseph W. (Joe)"",PERSON"
"""Pressler, Larry Lee"",PERSON"
"""Preston, Robert (Bob)"",PERSON"
"""Price, Bill"",PERSON"
"""Price, David Eugene"",PERSON"
"""Price, E. Thomas (Tom)"",PERSON"
"""Price, Stuart"",PERSON"
"""Prosser, David"",PERSON"
"""Prussing, Laurel Lunt"",PERSON"
"""Pryce, Deborah"",PERSON"
"""Puckett, Luke"",PERSON"
"""Puente Bradshaw, Jessica"",PERSON"
"""Purpuro, Larry"",PERSON"
"""Pursell, Carl Duane"",PERSON"
"""Putnam, Adam H."",PERSON"
"""Qualls, Roxanne"",PERSON"
"""Quayle, Ben"",PERSON"
"""Quigg, J. T."",PERSON"
"""Quiggle, Dan"",PERSON"
"""Quigley, Lisa"",PERSON"
"""Quinn, John Francis (Jack)"",PERSON"
"""Quinn, Robert E. (Bob)"",PERSON"
"""Quintanar, Serafin"",PERSON"
"""Quirk, William D."",PERSON"
"""Raby, Steve"",PERSON"
"""Raczkowzki, Rocky"",PERSON"
"""Radel, Henry Jude (Trey)"",PERSON"
"""Rahall, Nick Joe"",PERSON"
"""Rainville, Martha T."",PERSON"
"""Rallenger, Jeff"",PERSON"
"""Ramsey, Patrica Smith"",PERSON"
"""Ramsey, Thomas R., III (Tom)"",PERSON"
"""Ramstad, James (Jim)"",PERSON"
"""Rand, Carole Ann"",PERSON"
"""Rankin, Beth Anne"",PERSON"
"""Rapoport, Miles S."",PERSON"
"""Rarig, John F."",PERSON"
"""Rasoul, Sam"",PERSON"
"""Rathburn, Randy"",PERSON"
"""Rathje, Steve"",PERSON"
"""Rauh, Mary"",PERSON"
"""Ravosa, Anthony W., Jr."",PERSON"
"""Ravotti, Bill"",PERSON"
"""Ray, Richard Belmont"",PERSON"
"""Rayburn, Bentley"",PERSON"
"""Raye, Kevin"",PERSON"
"""Read, Verne R."",PERSON"
"""Reardon, John Edward"",PERSON"
"""Redder, Tom"",PERSON"
"""Redfern, Donald B."",PERSON"
"""Redmond, William Thomas (Bill)"",PERSON"
"""Reed, Christopher"",PERSON"
"""Reed, Jim"",PERSON"
"""Reed, John Francis (Jack)"",PERSON"
"""Reed, Mike"",PERSON"
"""Reemer, Tim"",PERSON"
"""Reetz, Jeff"",PERSON"
"""Rehberg, Dennis Ray (Denny)"",PERSON"
"""Rehberg, Jack Dennis"",PERSON"
"""Reibman, Edward Daniel"",PERSON"
"""Reichert, Dave"",PERSON"
"""Reichert, Nathan"",PERSON"
"""Reid, Frank"",PERSON"
"""Reid, Harry M."",PERSON"
"""Reid, Ogden Rogers"",PERSON"
"""Renacci, Jim"",PERSON"
"""Rendell, Edward Gene (Ed)"",PERSON"
"""Renzi, Richard George (Rick)"",PERSON"
"""Reuss, Henry Schoellkopf"",PERSON"
"""Reyes, Silvestre"",PERSON"
"""Reynolds, Thomas M."",PERSON"
"""Reynolds, Tom"",PERSON"
"""Reynolds, Tom (Thomas M.)"",PERSON"
"""Rhodes, James Allen (Jim)"",PERSON"
"""Rhodes, John Jacob"",PERSON"
"""Ribble, Reid"",PERSON"
"""Rice, Rex"",PERSON"
"""Rice, Tom"",PERSON"
"""Richards, Meredith"",PERSON"
"""Richardson, Bill "",PERSON"
"""Richardson, Elaine"",PERSON"
"""Richardson, Hubert Leon (H.L.)"",PERSON"
"""Richardson, Steve"",PERSON"
"""Richardson, William Blaine, III (Bill)"",PERSON"
"""Riddle, Wes"",PERSON"
"""Ridge, Thomas Joseph (Tom)"",PERSON"
"""Riecken, Gail"",PERSON"
"""Rieder, Mary"",PERSON"
"""Rieser, Tom"",PERSON"
"""Rigell, Scott"",PERSON"
"""Riley, Michael"",PERSON"
"""Riley, Robert Renfroe (Bob)"",PERSON"
"""Rinker, Glenn"",PERSON"
"""Rios, Rolando L."",PERSON"
"""Rippeon, Brandon Orman"",PERSON"
"""Risk, Kristi"",PERSON"
"""Rivera, David"",PERSON"
"""Rivers, Lynn Nancy"",PERSON"
"""Roach, Eric"",PERSON"
"""Roach, Pam"",PERSON"
"""Robbins, Mark"",PERSON"
"""Roberg, Tom"",PERSON"
"""Roberts, Charles Patrick (Pat)"",PERSON"
"""Roberts, Clint R., Jr."",PERSON"
"""Roberts, Darryl F."",PERSON"
"""Roberts, Richard Henry"",PERSON"
"""Robinson, Don"",PERSON"
"""Robinson, Jack E., III"",PERSON"
"""Robinson, Richard"",PERSON"
"""Robinson, Tommy Franklin"",PERSON"
"""Robinson, Vernon"",PERSON"
"""Roby, Martha"",PERSON"
"""Rodey, Patrick Michael (Pat)"",PERSON"
"""Rodgers, Mark"",PERSON"
"""Rodriguez, Ciro Davis"",PERSON"
"""Rodriguez, Rosita"",PERSON"
"""Roe, Phil"",PERSON"
"""Roemer, Timothy John (Tim)"",PERSON"
"""Rogan, James Edward (Jim)"",PERSON"
"""Rogers, Beth"",PERSON"
"""Rogers, Dave"",PERSON"
"""Rogers, Hal"",PERSON"
"""Rogers, Joe"",PERSON"
"""Rogers, Mike"",PERSON"
"""Rogers, Wendy"",PERSON"
"""Rokita, Theodore Edward (Todd)"",PERSON"
"""Rolf, Rick"",PERSON"
"""Rollins, Michele"",PERSON"
"""Romaine, Edward P."",PERSON"
"""Romero Roses, Gloria"",PERSON"
"""Romero, Craig"",PERSON"
"""Roncalio, Teno"",PERSON"
"""Rooney, Tom"",PERSON"
"""Roraback, Andrew"",PERSON"
"""Rosanelli, Tom"",PERSON"
"""Rose, Charles Grandison, III (Charlie)"",PERSON"
"""Rose, Mary"",PERSON"
"""Rosenberg, Don"",PERSON"
"""Rosenberger, Geoff H."",PERSON"
"""Roskam, Peter"",PERSON"
"""Ros-Lehtinen, Ileana Carmen"",PERSON"
"""Ross, Barbara"",PERSON"
"""Ross, Dennis"",PERSON"
"""Ross, Henry"",PERSON"
"""Ross, Jack"",PERSON"
"""Ross, Michael Avery (Mike)"",PERSON"
"""Rotenberg, Jon Fred"",PERSON"
"""Roth, Roger"",PERSON"
"""Roth, Tobias Anton (Toby)"",PERSON"
"""Rothfus, Keith"",PERSON"
"""Rothman, Steve"",PERSON"
"""Rouzer, David"",PERSON"
"""Rowland, James Roy, Jr. "",PERSON"
"""Rowland, John"",PERSON"
"""Roy, Johnny B."",PERSON"
"""Royce, Ed"",PERSON"
"""Royer, Bill"",PERSON"
"""Roys, Kelda Helen"",PERSON"
"""Rudd, Dan"",PERSON"
"""Ruiz, Joe"",PERSON"
"""Ruiz, Nicholas, III (Nick)"",PERSON"
"""Runbeck, Linda"",PERSON"
"""Runyan, Jon"",PERSON"
"""Ruppe, Philip Edward (Phil)"",PERSON"
"""Ruppersberger, Charles Albert (Dutch)"",PERSON"
"""Rush, Bobby"",PERSON"
"""Rush, Jacob Anthongy (Jake)"",PERSON"
"""Russell, Bobby"",PERSON"
"""Russell, Sam"",PERSON"
"""Russell, William"",PERSON"
"""Russo, Basil"",PERSON"
"""Russo, Martin Anthony (Marty)"",PERSON"
"""Russo, Nathan"",PERSON"
"""Russo, Peter J."",PERSON"
"""Rutherford, Bill"",PERSON"
"""Ryan, Bob"",PERSON"
"""Ryan, Michael John"",PERSON"
"""Ryan, Paul"",PERSON"
"""Ryan, Tim"",PERSON"
"""Rydalch, Ann"",PERSON"
"""Ryun, Jim"",PERSON"
"""Sabel, Cheryl"",PERSON"
"""Sabo, Martin Olav"",PERSON"
"""Saiki, Patricia Fukuda (Pat)"",PERSON"
"""Salazar, John"",PERSON"
"""Sali, Bill"",PERSON"
"""Salisbury, Matt"",PERSON"
"""Salmon, Matthew James (Matt)"",PERSON"
"""Salomon, Jim"",PERSON"
"""Saltonstall, William Lawrence"",PERSON"
"""Salvaggio, Charles"",PERSON"
"""Salvi, Al"",PERSON"
"""Salvino, Chris"",PERSON"
"""Samuelson, Robert L."",PERSON"
"""Sanchez, Linda"",PERSON"
"""Sanchez, Loretta"",PERSON"
"""Sanchez, Stephanie"",PERSON"
"""Sand, Duane"",PERSON"
"""Sanders, Bernard (Bernie)"",PERSON"
"""Sanders, Charles"",PERSON"
"""Sanders, David A."",PERSON"
"""Sandlin, Max A."",PERSON"
"""Sandos, Tim"",PERSON"
"""Sandoval, Delores"",PERSON"
"""Sanford, Mark"",PERSON"
"""Santini, James David (Jim)"",PERSON"
"""Santorum, Richard John (Rick)"",PERSON"
"""Sarpalius, Wiliam (Bill)"",PERSON"
"""Sarvi, Steve"",PERSON"
"""Saunders, Frank"",PERSON"
"""Sawyer, Harold (Hal)"",PERSON"
"""Sawyer, Keary"",PERSON"
