text,label,named_entities
Alliance For Quality Nursing Home Care,ORG,"[('Alliance For Quality Nursing Home Care', 'ORG')]"
"Johnson, Colon",PERSON,"[('Johnson', 'PERSON')]"
"Cook, Ralph D.",PERSON,"[('Ralph D.', 'PERSON')]"
"Gardner, William D.",PERSON,"[('Gardner', 'PERSON'), ('William D.', 'PERSON')]"
"Shute, Elden H., Jr.",PERSON,"[('Elden H., Jr.', 'PERSON')]"
"Kelly, Marilyn",PERSON,"[('Kelly', 'PERSON'), ('Marilyn', 'PERSON')]"
"Moyer, Tim",PERSON,"[('Tim', 'PERSON')]"
"Goddard, Rick",PERSON,"[('Rick', 'PERSON')]"
Republican Party of Arkansas,ORG,"[('Republican Party', 'ORG'), ('Arkansas', 'GPE')]"
"Bevin, Matthew Griswold (Matt)",PERSON,"[('Bevin', 'PERSON'), ('Matthew Griswold', 'PERSON'), ('Matt', 'PERSON')]"
"Jordan, Nick",PERSON,"[('Jordan', 'GPE'), ('Nick', 'PERSON')]"
"Moody, James P. (Jim)",PERSON,"[('Moody, James P. (Jim)', 'ORG')]"
"Johnson, Tim",PERSON,"[('Johnson', 'PERSON'), ('Tim', 'PERSON')]"
"Guthrie, Bill",PERSON,"[('Bill', 'PERSON')]"
"Smitter, Henry",PERSON,"[('Henry', 'PERSON')]"
"Kupiec, John",PERSON,"[('Kupiec', 'PERSON'), ('John', 'PERSON')]"
"Michaud, Michael Herman (Mike)",PERSON,"[('Michael Herman', 'PERSON'), ('Mike', 'PERSON')]"
"Budagher, John",PERSON,"[('Budagher', 'PERSON'), ('John', 'PERSON')]"
"Peytavin, John",PERSON,"[('Peytavin', 'PERSON'), ('John', 'PERSON')]"
"Peranich, Diane",PERSON,"[('Peranich', 'GPE'), ('Diane', 'PERSON')]"
"Armstrong, David (Dave)",PERSON,"[('Armstrong', 'PERSON'), ('David', 'PERSON'), ('Dave', 'PERSON')]"
"Turnham, Joseph R. (Joe)",PERSON,"[('Turnham', 'PERSON'), ('Joseph R. (', 'PERSON'), ('Joe', 'PERSON')]"
"Allegretti, Michael",PERSON,"[('Allegretti', 'ORG'), ('Michael', 'PERSON')]"
"Carr, Milton Robert (Bob)",PERSON,"[('Carr', 'PERSON'), ('Milton Robert', 'PERSON'), ('Bob', 'PERSON')]"
"Curry, Jerry R.",PERSON,"[('Curry', 'PERSON'), ('Jerry R.', 'PERSON')]"
"Waltzer, Miriam",PERSON,"[('Waltzer', 'PERSON'), ('Miriam', 'PERSON')]"
"Smith, Derek",PERSON,"[('Smith', 'GPE'), ('Derek', 'PERSON')]"
"Shimkus, John Mondy",PERSON,"[('Shimkus', 'ORG'), ('John Mondy', 'PERSON')]"
"Vitter, David Bruce",PERSON,"[('Vitter', 'ORG'), ('David Bruce', 'PERSON')]"
Louisiana,GPE,"[('Louisiana', 'GPE')]"
"Krishnamoorthi, Raja",PERSON,[]
"Wilson, Charlie (Charles)",PERSON,"[('Wilson', 'ORG'), ('Charlie', 'PERSON'), ('Charles', 'PERSON')]"
"Carter, Earl Leroy (Buddy)",PERSON,"[('Carter', 'PERSON'), ('Earl Leroy', 'PERSON')]"
"Franks, Gary",PERSON,"[('Gary', 'PERSON')]"
"Wells, Erik",PERSON,"[('Wells', 'ORG'), ('Erik', 'PERSON')]"
Pennsylvania,GPE,"[('Pennsylvania', 'GPE')]"
"Weatherly, Jim",PERSON,"[('Jim', 'PERSON')]"
"Roberts, Darryl F.",PERSON,"[('Roberts', 'PERSON'), ('Darryl F.', 'PERSON')]"
"Gemma, Anthony",PERSON,"[('Anthony', 'PERSON')]"
"Cobb, Steve",PERSON,"[('Cobb', 'ORG'), ('Steve', 'PERSON')]"
"Myerscough, Sue",PERSON,"[('Myerscough', 'GPE')]"
"Hellman, Juda Maria",PERSON,"[('Hellman', 'PRODUCT'), ('Juda Maria', 'PERSON')]"
"Delay, Gunner",PERSON,"[('Delay', 'PERSON'), ('Gunner', 'PERSON')]"
"Bryan, Jon L.",PERSON,"[('Bryan', 'PERSON'), ('Jon L.', 'PERSON')]"
"Boggs, Lindy",PERSON,"[('Boggs', 'PERSON'), ('Lindy', 'GPE')]"
Republican National Committee,ORG,"[('Republican National Committee', 'ORG')]"
"Williams, Patricia L.",PERSON,"[('Williams', 'PERSON'), ('Patricia L.', 'PERSON')]"
"Sellers, Richard",PERSON,"[('Richard', 'PERSON')]"
"Stender, Linda",PERSON,"[('Linda', 'PERSON')]"
Peace Action of the Delaware Valley,ORG,"[('the Delaware Valley', 'LOC')]"
"Fillner, Russell K.",PERSON,"[('Russell K.', 'PERSON')]"
"Barbour, Haley Reeves",PERSON,"[('Barbour', 'ORG'), ('Haley Reeves', 'PERSON')]"
John McCallum for Congress,ORG,"[('John McCallum', 'PERSON'), ('Congress', 'ORG')]"
"Lamm, Peggy",PERSON,[]
"Celebrezze, Frank D.",PERSON,[]
"Donnelly, Michael",PERSON,"[('Michael', 'PERSON')]"
"Marlinga, Carl",PERSON,"[('Marlinga', 'GPE'), ('Carl', 'PERSON')]"
"Beatty, Joyce",PERSON,"[('Beatty', 'GPE'), ('Joyce', 'PERSON')]"
"Gilliland, Lukin T.",PERSON,"[('Lukin T.', 'PERSON')]"
Re-elect Earl Hillard,ORG,"[('Earl Hillard', 'PERSON')]"
"Bond, Christopher Samuel (Kit)",PERSON,"[('Christopher Samuel (Kit', 'PERSON')]"
Joe for America,ORG,"[('Joe', 'PERSON'), ('America', 'GPE')]"
South Dakota Republican State Central Committee,ORG,"[('South Dakota', 'GPE'), ('State Central Committee', 'ORG')]"
"McGavick, Michael S. (Mike)",PERSON,"[('McGavick', 'ORG'), ('Michael S.', 'PERSON'), ('Mike', 'PERSON')]"
"Muskie, Edmund Sixtus (Ed)",PERSON,"[('Edmund Sixtus', 'PERSON'), ('Ed', 'PERSON')]"
Andy Barr for Congress,ORG,"[('Andy Barr', 'PERSON'), ('Congress', 'ORG')]"
"Donchess, James W. (Jim)",PERSON,"[('James W.', 'PERSON'), ('Jim', 'PERSON')]"
"Upton, Frederick Stephen (Fred)",PERSON,"[('Upton', 'GPE'), ('Frederick Stephen', 'PERSON')]"
"Postma, Jim",PERSON,"[('Postma', 'PERSON'), ('Jim', 'PERSON')]"
"Graham, Chris",PERSON,"[('Graham', 'PERSON'), ('Chris', 'PERSON')]"
"Cornyn, John",PERSON,"[('John', 'PERSON')]"
"Hieb, Ross",PERSON,"[('Hieb', 'GPE'), ('Ross', 'PERSON')]"
"Kennedy, Billy",PERSON,"[('Kennedy', 'PERSON'), ('Billy', 'PERSON')]"
"Seymour, John",PERSON,"[('John', 'PERSON')]"
"Harris, David",PERSON,"[('Harris', 'PERSON'), ('David', 'PERSON')]"
"Buquoi, Larry",PERSON,"[('Buquoi', 'ORG'), ('Larry', 'PERSON')]"
"Strickland, Tom",PERSON,"[('Strickland', 'ORG'), ('Tom', 'PERSON')]"
"Fascell, Dante B.",PERSON,"[('Dante B.', 'PERSON')]"
Democratic Party of New Mexico,ORG,"[('Democratic Party of New Mexico', 'ORG')]"
"Huizenga, Bill",PERSON,"[('Bill', 'PERSON')]"
"Caranagh, Michael F.",PERSON,"[('Caranagh', 'GPE'), ('Michael F.', 'PERSON')]"
Friends of Jeff Sessions,ORG,[]
"McIlwrath, Rolleen",PERSON,"[('Rolleen', 'PERSON')]"
"Assad, Mike",PERSON,"[('Assad', 'PERSON'), ('Mike', 'PERSON')]"
"Lutz, Joe P.",PERSON,"[('Lutz', 'ORG'), ('Joe P.', 'PERSON')]"
"Demars, Lou",PERSON,"[('Demars', 'PERSON'), ('Lou', 'PERSON')]"
"Smith, Jefferson Verne, Jr.",PERSON,"[('Smith', 'GPE'), ('Jefferson Verne', 'PERSON'), ('Jr.', 'PERSON')]"
"Bayh, Evan",PERSON,"[('Evan', 'PERSON')]"
"Robinson, Vernon",PERSON,"[('Robinson', 'PERSON'), ('Vernon', 'PRODUCT')]"
"Jackson, David Lawrence",PERSON,"[('Jackson', 'GPE'), ('David Lawrence', 'PERSON')]"
"Lauzen, Christopher J. (Chris)",PERSON,"[('Lauzen', 'ORG'), ('Christopher J. (', 'PERSON'), ('Chris', 'PERSON')]"
"Deutsch, Peter R.",PERSON,"[('Deutsch', 'PERSON'), ('Peter R.', 'PERSON')]"
"Timmer, John",PERSON,"[('John', 'PERSON')]"
"Loudermilk, Barry D.",PERSON,"[('Barry D.', 'PERSON')]"
"Gorman, Robert",PERSON,"[('Robert', 'PERSON')]"
"Ruppe, Philip Edward (Phil)",PERSON,"[('Philip Edward', 'PERSON'), ('Phil', 'PERSON')]"
"McCalister, Mike",PERSON,"[('McCalister', 'ORG'), ('Mike', 'PERSON')]"
"Pera, Mark",PERSON,"[('Pera', 'ORG'), ('Mark', 'PERSON')]"
"McMaster, William Henry",PERSON,"[('McMaster', 'PERSON'), ('William Henry', 'PERSON')]"
"Boustany, Charles",PERSON,"[('Boustany', 'GPE'), ('Charles', 'PERSON')]"
"Bell, Jeffrey",PERSON,"[('Bell', 'ORG'), ('Jeffrey', 'PERSON')]"
"Haskins, Brad",PERSON,"[('Brad', 'PERSON')]"
"Carlin, David Robert, Jr.",PERSON,"[('Carlin', 'GPE'), ('David Robert, Jr.', 'PERSON')]"
"Mueller, Karen Pepper",PERSON,"[('Karen Pepper', 'PERSON')]"
"Adler, John",PERSON,"[('John', 'PERSON')]"
"Moran, Emmett",PERSON,"[('Moran', 'PERSON'), ('Emmett', 'PERSON')]"
"Cain, May",PERSON,"[('May', 'DATE')]"
"Kirby, J. Russell",PERSON,"[('Kirby', 'ORG'), ('J. Russell', 'PERSON')]"
"Olin, James Randolph",PERSON,"[('Olin', 'ORG'), ('James Randolph', 'PERSON')]"
"Davidow, Joe",PERSON,"[('Joe', 'PERSON')]"
"Stormer, Elinore Marsh",PERSON,[]
"Berkhout, Jan",PERSON,"[('Jan', 'PERSON')]"
"Brister, Jim",PERSON,"[('Brister', 'ORG'), ('Jim', 'PERSON')]"
Hoosiers for Richard Mourdock,ORG,[]
"Rasoul, Sam",PERSON,"[('Rasoul', 'GPE'), ('Sam', 'PERSON')]"
George Holding for Congress,ORG,"[('George Holding', 'PERSON'), ('Congress', 'ORG')]"
"Meehan, Martin Thomas",PERSON,"[('Martin Thomas', 'PERSON')]"
"Flanegan, Chip",PERSON,"[('Flanegan, Chip', 'ORG')]"
"Grayson, Alan",PERSON,"[('Grayson', 'GPE'), ('Alan', 'PERSON')]"
"Scaturro, Frank",PERSON,"[('Scaturro', 'ORG'), ('Frank', 'PERSON')]"
"Macy, Bob",PERSON,"[('Macy', 'ORG'), ('Bob', 'PERSON')]"
"Lemucchi, Timothy Jon (Tim)",PERSON,"[('Lemucchi', 'GPE'), ('Timothy Jon', 'PERSON'), ('Tim', 'PERSON')]"
"Braun, Warren D.",PERSON,"[('Warren D.', 'PERSON')]"
"Crozier, William (Bill)",PERSON,"[('Crozier', 'ORG'), ('William', 'PERSON'), ('Bill', 'PERSON')]"
Sanford for Congress,ORG,"[('Sanford', 'PERSON'), ('Congress', 'ORG')]"
"Peeples, David",PERSON,"[('David', 'PERSON')]"
Pascrell for Congress,ORG,"[('Congress', 'ORG')]"
"Rusthoven, Peter",PERSON,"[('Rusthoven', 'GPE'), ('Peter', 'PERSON')]"
"Weber, Edward Ford (Ed)",PERSON,"[('Edward Ford', 'PERSON'), ('Ed', 'PERSON')]"
"Sybert, Rich",PERSON,"[('Sybert', 'PERSON'), ('Rich', 'PERSON')]"
"Pearce, Steve",PERSON,"[('Steve', 'PERSON')]"
"DeLauro, Rosa L.",PERSON,"[('Rosa L.', 'PERSON')]"
James M Dwinell,ORG,"[('James M Dwinell', 'PERSON')]"
"Kanner, Richard",PERSON,"[('Kanner', 'ORG'), ('Richard', 'PERSON')]"
"Carter, Earl Leroy (Buddy )",PERSON,"[('Carter', 'PERSON'), ('Earl Leroy', 'PERSON')]"
"Cox, Allyson",PERSON,"[('Allyson', 'PERSON')]"
Missouri Republican State Committee,ORG,"[('Missouri', 'GPE'), ('Republican State Committee', 'ORG')]"
"Irwin, Mitch",PERSON,"[('Irwin, Mitch', 'GPE')]"
"Menendez, Robert (Bob)",PERSON,"[('Robert', 'PERSON'), ('Bob', 'PERSON')]"
"Blaine, Jamie",PERSON,"[('Blaine', 'ORG'), ('Jamie', 'PERSON')]"
"Parry, Mike",PERSON,"[('Parry', 'GPE'), ('Mike', 'PERSON')]"
"Bennett, Richard Alan (Rick)",PERSON,"[('Bennett', 'PERSON'), ('Richard Alan', 'PERSON'), ('Rick', 'PERSON')]"
"Callahan, Colleen",PERSON,"[('Callahan', 'GPE'), ('Colleen', 'PERSON')]"
"Cathcart, Mary B.",PERSON,"[('Cathcart', 'ORG'), ('Mary B.', 'PERSON')]"
Democracy for America,ORG,[]
Vermont,GPE,"[('Vermont', 'GPE')]"
"King, Gary",PERSON,"[('Gary', 'PERSON')]"
"Lunsford, Bruce",PERSON,"[('Bruce', 'PERSON')]"
BaileyForLife2000,ORG,"[('BaileyForLife2000', 'GPE')]"
"Ford, Wendell Hampton",PERSON,"[('Ford', 'ORG'), ('Wendell Hampton', 'PERSON')]"
"Kuykendall, Steve",PERSON,"[('Steve', 'PERSON')]"
"Lancaster, H. Martin",PERSON,"[('Lancaster', 'GPE'), ('H. Martin', 'PERSON')]"
"Coyne-McCoy, Kate",PERSON,"[('Coyne-McCoy', 'ORG'), ('Kate', 'PERSON')]"
"Koernke, Thomas F.",PERSON,"[('Koernke', 'PERSON'), ('Thomas F.', 'PERSON')]"
"Schlesinger, Alan",PERSON,"[('Schlesinger', 'PERSON'), ('Alan', 'PERSON')]"
"Bell, Don",PERSON,"[('Bell', 'ORG'), ('Don', 'PERSON')]"
"Kremers, Jeff",PERSON,"[('Jeff', 'PERSON')]"
"Frenzel, William Eldridge",PERSON,"[('Frenzel', 'ORG'), ('William Eldridge', 'PERSON')]"
"Borcherdt, Ed",PERSON,"[('Borcherdt', 'PERSON'), ('Ed', 'PERSON')]"
"Howell, Carla",PERSON,"[('Howell', 'ORG'), ('Carla', 'PERSON')]"
Gingrey for US Senate,ORG,"[('Gingrey', 'GPE'), ('US Senate', 'ORG')]"
"Ford, Harold Eugene, Jr.",PERSON,"[('Ford', 'ORG'), ('Harold Eugene', 'PERSON')]"
"Gooch, Diane",PERSON,"[('Gooch', 'PERSON'), ('Diane', 'PERSON')]"
Illinois,GPE,"[('Illinois', 'GPE')]"
"Barrasso, John A. ",PERSON,"[('Barrasso', 'ORG'), ('John A.', 'PERSON')]"
Kinzinger for Congress,ORG,"[('Kinzinger for Congress', 'ORG')]"
"Broyhill, James Thomas (Jim)",PERSON,"[('James Thomas', 'PERSON'), ('Jim', 'PERSON')]"
"D'Achille, Ernest (Ernie)",PERSON,"[(""D'Achille"", 'PERSON'), ('Ernest', 'PERSON'), ('Ernie', 'ORG')]"
"Jovicic, Dusko",PERSON,"[('Jovicic', 'PERSON'), ('Dusko', 'PERSON')]"
"Williams, Jay (Gex)",PERSON,"[('Williams', 'PERSON'), ('Jay', 'PERSON')]"
"Roberts, Betty R.",PERSON,"[('Roberts', 'PERSON'), ('Betty R.', 'PERSON')]"
"Simons, Lynn Osborn",PERSON,"[('Lynn Osborn', 'PERSON')]"
Right Change,ORG,[]
"Gill, Rick (Ricky)",PERSON,"[('Gill', 'PERSON'), ('Rick', 'PERSON')]"
"Prosser, David",PERSON,"[('Prosser', 'PRODUCT'), ('David', 'PERSON')]"
"Wortley, George C.",PERSON,"[('Wortley', 'PERSON'), ('George C.', 'PERSON')]"
"Aslanian, John",PERSON,"[('Aslanian', 'NORP'), ('John', 'PERSON')]"
"Plummer, Jason",PERSON,"[('Jason', 'PERSON')]"
"Blaine, James G. (Jamie)",PERSON,"[('Blaine', 'ORG'), ('James G.', 'PERSON'), ('Jamie', 'PERSON')]"
"Carnahan, John Russell",PERSON,"[('Carnahan', 'PERSON'), ('John Russell', 'PERSON')]"
"Webb, Linde",PERSON,"[('Linde', 'ORG')]"
"Benishek, Dan",PERSON,"[('Benishek', 'PERSON'), ('Dan', 'PERSON')]"
"DeJuliis, Connie Galiazzo",PERSON,"[('DeJuliis', 'PERSON'), ('Connie Galiazzo', 'PERSON')]"
"Keating, Barbara A.",PERSON,"[('Keating', 'GPE'), ('Barbara A.', 'PERSON')]"
"Flaherty, Peter F. (Pete)",PERSON,"[('Peter F. (', 'PERSON'), ('Pete', 'PERSON')]"
"Bright, Bobby",PERSON,"[('Bobby', 'PERSON')]"
"Bosco, Doug",PERSON,"[('Bosco', 'ORG'), ('Doug', 'PERSON')]"
"Tate, Randy J.",PERSON,"[('Tate', 'ORG'), ('Randy J.', 'PERSON')]"
"DeGette, Diana",PERSON,"[('DeGette', 'PERSON'), ('Diana', 'PERSON')]"
"Hughes, Reid",PERSON,"[('Hughes', 'ORG'), ('Reid', 'PERSON')]"
Non-Partisan League,ORG,"[('Non-Partisan League', 'ORG')]"
"Connors, Arlene Doris Pachesney (Arlene)",PERSON,"[('Arlene Doris Pachesney', 'PERSON'), ('Arlene', 'PERSON')]"
"Sullivan, Florence M.",PERSON,"[('Sullivan', 'PERSON'), ('Florence M.', 'PERSON')]"
"Clement, Robert Nelson (Bob)",PERSON,"[('Robert Nelson', 'PERSON'), ('Bob', 'PERSON')]"
"Allen, Tom",PERSON,"[('Allen', 'PERSON'), ('Tom', 'PERSON')]"
"O'Neal, David Cortland (Dave)",PERSON,"[(""O'Neal"", 'PERSON'), ('David Cortland', 'PERSON'), ('Dave', 'PERSON')]"
"Gash, Lauren Beth",PERSON,"[('Lauren Beth', 'PERSON')]"
"Walker, Beth",PERSON,"[('Beth', 'PERSON')]"
"Thomas, Robert Lindsay",PERSON,"[('Thomas', 'PERSON'), ('Robert Lindsay', 'PERSON')]"
"Bailey, Mike",PERSON,"[('Bailey', 'GPE'), ('Mike', 'PERSON')]"
"Ross, Henry",PERSON,"[('Ross', 'PERSON'), ('Henry', 'GPE')]"
"Brooks, Susan",PERSON,"[('Brooks', 'ORG'), ('Susan', 'PERSON')]"
"Cloud, Doug",PERSON,[]
"Margolies-Mezvinsky, Marjorie",PERSON,"[('Margolies-Mezvinsky', 'ORG'), ('Marjorie', 'PERSON')]"
"Carnahan, Russ",PERSON,"[('Carnahan', 'PERSON'), ('Russ', 'PERSON')]"
"Licht, Richard A.",PERSON,"[('Licht', 'GPE'), ('Richard A.', 'PERSON')]"
"Kurita, Rosalind",PERSON,[]
"St. Clair, Fred L.",PERSON,"[('Fred L.', 'PERSON')]"
Healthcare for America Now,ORG,"[('Healthcare for America Now', 'ORG')]"
"Canter, MacKenzie",PERSON,"[('Canter', 'ORG'), ('MacKenzie', 'ORG')]"
"Coon, Jon",PERSON,"[('Jon', 'PERSON')]"
Ken Fortenberry for Congress,ORG,"[('Ken Fortenberry', 'PERSON'), ('Congress', 'ORG')]"
"Sogg, Linda Rocker",PERSON,"[('Sogg', 'ORG'), ('Linda Rocker', 'PERSON')]"
Friends of Rowland,ORG,"[('Friends of Rowland', 'ORG')]"
"Kostmayer, Peter Houston",PERSON,"[('Kostmayer', 'ORG'), ('Peter Houston', 'PERSON')]"
"Asbury, Charles Theodore, Jr. (Ted)",PERSON,"[('Asbury', 'ORG'), ('Charles Theodore', 'PERSON'), ('Jr.', 'PERSON'), ('Ted', 'PERSON')]"
"McKibben, Larry",PERSON,"[('Larry', 'PERSON')]"
"Terrant, Richard Edward",PERSON,"[('Richard Edward', 'PERSON')]"
"Henry, Steve",PERSON,"[('Henry', 'GPE'), ('Steve', 'PERSON')]"
"Ribble, Reid",PERSON,"[('Reid', 'PERSON')]"
"Bucshon, Larry",PERSON,"[('Larry', 'PERSON')]"
"Birch, A. A.",PERSON,[]
"McGovern, James P. (Jim)",PERSON,"[('McGovern', 'ORG'), ('James P.', 'PERSON'), ('Jim', 'PERSON')]"
Illinois Women Vote!/EMILY's List,ORG,"[('Illinois', 'GPE'), ('Vote!/EMILY', 'DATE')]"
"Hunt, Bill",PERSON,"[('Hunt', 'PERSON'), ('Bill', 'PERSON')]"
"Studds, Gerry Eastman",PERSON,"[('Studds', 'ORG'), ('Gerry Eastman', 'PERSON')]"
"Hunt, Jim",PERSON,"[('Hunt', 'PERSON'), ('Jim', 'PERSON')]"
"Martin, Lynn Morley",PERSON,"[('Martin', 'ORG'), ('Lynn Morley', 'PERSON')]"
"Ryan, Tim",PERSON,"[('Ryan', 'PERSON'), ('Tim', 'PERSON')]"
"Campaigne, Tony",PERSON,"[('Tony', 'PERSON')]"
West Virginia,GPE,"[('West Virginia', 'GPE')]"
"Parker, Marshall Joyner",PERSON,"[('Parker', 'ORG'), ('Marshall Joyner', 'PERSON')]"
"Schrock, Edward (Ed)",PERSON,"[('Schrock', 'ORG'), ('Edward', 'PERSON'), ('Ed', 'PERSON')]"
"House, Art",PERSON,"[('House', 'ORG')]"
"Kelly, Scotty",PERSON,"[('Kelly', 'ORG')]"
"Holden, Thomas Timothy (Tim)",PERSON,"[('Thomas Timothy', 'PERSON'), ('Tim', 'PERSON')]"
Save Our Environment,ORG,[]
"Thomas, David",PERSON,"[('Thomas', 'PERSON'), ('David', 'PERSON')]"
"Grimm, Michael",PERSON,"[('Grimm', 'ORG'), ('Michael', 'PERSON')]"
"Franks, Gary",PERSON,"[('Gary', 'PERSON')]"
Jim Abbott for Congress,ORG,"[('Jim Abbott', 'PERSON'), ('Congress', 'ORG')]"
"Gullick, Carl",PERSON,"[('Gullick', 'ORG'), ('Carl', 'PERSON')]"
"Burns, Kevin",PERSON,"[('Kevin', 'PERSON')]"
"Stenberg, Donald A. (Don)",PERSON,"[('Stenberg', 'PERSON'), ('Donald A.', 'PERSON'), ('Don', 'PERSON')]"
"Mann, David S.",PERSON,"[('Mann', 'PERSON'), ('David S.', 'PERSON')]"
"Cooper, James Ralph",PERSON,"[('Cooper', 'PERSON'), ('James Ralph', 'PERSON')]"
"Miller, Ralph Bradley (Brad)",PERSON,"[('Miller', 'PERSON'), ('Ralph Bradley', 'PERSON'), ('Brad', 'PERSON')]"
"Synar, Michael Lynn (Mike)",PERSON,"[('Synar', 'GPE'), ('Michael Lynn', 'PERSON'), ('Mike', 'PERSON')]"
"Bayne, Floyd",PERSON,"[('Floyd', 'PERSON')]"
"McMillen, Thomas Charles (Tom)",PERSON,"[('McMillen', 'PERSON'), ('Thomas Charles', 'PERSON'), ('Tom', 'PERSON')]"
"Docking, Jill",PERSON,"[('Jill', 'PERSON')]"
Citizens for Reform,ORG,"[('Citizens for Reform', 'ORG')]"
"Bilirakis, Gus Michael",PERSON,"[('Gus Michael', 'PERSON')]"
"Paul, Rand",PERSON,"[('Paul', 'PERSON'), ('Rand', 'ORG')]"
"Holtz, Dan",PERSON,"[('Holtz', 'PERSON'), ('Dan', 'PERSON')]"
Citizens for Zwick,ORG,"[('Citizens for Zwick', 'ORG')]"
"Thomas, Randall",PERSON,"[('Thomas', 'PERSON'), ('Randall', 'PERSON')]"
"Campbell, Foster L., Jr.",PERSON,"[('Campbell', 'ORG'), ('Foster L., Jr.', 'PERSON')]"
"Chappie, Gene",PERSON,"[('Chappie', 'NORP')]"
"Heftel, Cecil",PERSON,"[('Heftel', 'ORG')]"
"Ferguson, Scott",PERSON,"[('Ferguson', 'ORG'), ('Scott', 'PERSON')]"
"Maffei, Daniel B. (Dan)",PERSON,"[('Maffei', 'GPE'), ('Daniel B.', 'PERSON'), ('Dan', 'PERSON')]"
"Larsen, Rick",PERSON,"[('Larsen', 'PERSON'), ('Rick', 'PERSON')]"
"Lightfoot, James Ross (Jim)",PERSON,"[('James Ross', 'PERSON'), ('Jim', 'PERSON')]"
South Dakota Republican Party,ORG,"[('South Dakota Republican Party', 'ORG')]"
"Tyson, Priscilla",PERSON,"[('Tyson', 'ORG'), ('Priscilla', 'ORG')]"
"Barela, Jon",PERSON,"[('Barela', 'PERSON'), ('Jon', 'PERSON')]"
"Stevenson, Adlai Ewing, III",PERSON,"[('Stevenson', 'PERSON'), ('Adlai Ewing', 'PERSON')]"
"Mahaffey, Mike",PERSON,"[('Mahaffey', 'PERSON'), ('Mike', 'PERSON')]"
House Democratic Caucus Fund,ORG,"[('House Democratic Caucus Fund', 'ORG')]"
"Ward, Jim",PERSON,"[('Jim', 'PERSON')]"
"Howard, Laurence Edward",PERSON,"[('Howard', 'PERSON'), ('Laurence Edward', 'PERSON')]"
"Steele, Michael S.",PERSON,"[('Steele', 'PERSON'), ('Michael S.', 'PERSON')]"
"Clark,  Joseph Sill",PERSON,"[('Clark', 'PERSON'), ('Joseph Sill', 'PERSON')]"
"Smith, Adrian",PERSON,"[('Smith', 'GPE'), ('Adrian', 'NORP')]"
"Keating, Kenneth Barnard",PERSON,"[('Keating', 'GPE'), ('Kenneth Barnard', 'PERSON')]"
"Didier, Clint",PERSON,"[('Clint', 'PERSON')]"
"Young, Jesse",PERSON,"[('Jesse', 'PERSON')]"
"Herwig, Phil",PERSON,"[('Herwig', 'ORG'), ('Phil', 'PERSON')]"
"Pike, Doug",PERSON,"[('Pike, Doug', 'ORG')]"
"Blagojevich, Milorad R. (Rod)",PERSON,"[('Blagojevich', 'GPE'), ('Milorad R.', 'PERSON'), ('Rod', 'PERSON')]"
"Garcia, Jos Antonio, Jr. (Joe)",PERSON,"[('Garcia', 'PERSON'), ('Jos Antonio', 'PERSON'), ('Jr.', 'PERSON'), ('Joe', 'PERSON')]"
"Lehman, Richard H.",PERSON,"[('Lehman', 'ORG'), ('Richard H.', 'PERSON')]"
"Rehberg, Dennis Ray (Denny)",PERSON,"[('Rehberg', 'PERSON'), ('Dennis Ray', 'PERSON'), ('Denny', 'GPE')]"
"Barnes, Mike",PERSON,"[('Mike', 'PERSON')]"
"McMahon, Linda",PERSON,"[('McMahon', 'PERSON'), ('Linda', 'PERSON')]"
"Anthony, Beryl Franklin, Jr.",PERSON,"[('Beryl Franklin', 'PERSON')]"
"Wilson, Charles",PERSON,"[('Wilson', 'ORG'), ('Charles', 'PERSON')]"
"Stallings, Richard Howard",PERSON,"[('Richard Howard', 'PERSON')]"
Nebraska,GPE,"[('Nebraska', 'GPE')]"
"Plowman, Deb",PERSON,"[('Plowman', 'NORP')]"
"Healy, Bernadine",PERSON,"[('Healy', 'GPE'), ('Bernadine', 'PERSON')]"
"Olson, Pete",PERSON,"[('Olson', 'ORG'), ('Pete', 'PERSON')]"
"Brown, Rick",PERSON,"[('Rick', 'PERSON')]"
"Brown, Steve",PERSON,"[('Steve', 'PERSON')]"
"Anderson, Tom H.",PERSON,"[('Anderson', 'PERSON'), ('Tom H.', 'PERSON')]"
"Coakley, Martha",PERSON,"[('Coakley', 'ORG'), ('Martha', 'PERSON')]"
"Barca, Peter Wiiliam",PERSON,"[('Peter Wiiliam', 'PERSON')]"
"Harris, Claude, Jr.",PERSON,"[('Harris', 'PERSON'), ('Claude', 'PERSON'), ('Jr.', 'PERSON')]"
"Burr, Richard Mauze",PERSON,"[('Richard Mauze', 'PERSON')]"
The Libertarian Party,ORG,"[('The Libertarian Party', 'ORG')]"
"Brindenstine, Jim",PERSON,"[('Jim', 'PERSON')]"
"Worley, Harold G.",PERSON,"[('Harold G.', 'PERSON')]"
"Brunner, Robert (Robert Charles)",PERSON,"[('Robert (Robert Charles', 'PERSON')]"
"Newton, Matt",PERSON,"[('Newton', 'ORG'), ('Matt', 'PERSON')]"
"D'Amico, Gerard",PERSON,"[(""D'Amico"", 'PERSON'), ('Gerard', 'PERSON')]"
Bivens for Senate,ORG,"[('Senate', 'ORG')]"
"Griffin, Richard",PERSON,"[('Griffin', 'GPE'), ('Richard', 'PERSON')]"
"Sakai, Peter",PERSON,"[('Sakai', 'ORG'), ('Peter', 'PERSON')]"
"Moody, Edward",PERSON,"[('Moody,', 'ORG'), ('Edward', 'PERSON')]"
